userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,
7181,7181,Chaahat,-1996,151 min,"Drama, Romance",5.5,"2,676",Mahesh Bhatt,Naseeruddin Shah,Shah Rukh Khan,Pooja Bhatt,
7186,7186,Chaahat Ek Nasha...,-2005,140 min,"Drama, Romance, Thriller",3.9,74,Surya Prakash,Jayprakkash Shaw,Aryan Vaid,Manisha Koirala,
7193,7193,Chaahat Ki Lahariyon,-2001,,Romance,,,,,,,
7194,7194,Chaahat Ki Raat,-2005,,Thriller,,,,,,,
7196,7196,Chaal Baaz,-1980,,Action,,,Hari Mehra,Deepak Khanna,Jaya Kausalya,Nadira,
7197,7197,Chaalbaaz,-1989,155 min,"Action, Comedy, Drama",6.8,"1,489",Pankaj Parashar,Sridevi,Sunny Deol,Rajinikanth,
7200,7200,Chaalbaaz,-2003,117 min,Action,5.8,17,Gautam Verma,Rajat Bedi,Mithun Chakraborty,Dinesh Hingoo,
7201,7201,Chaalbaaz Haseena,-2002,93 min,Thriller,,,Meenukumar,Salomi,Shakeela,Vetri,
7208,7208,Chaalbaaz in London,-2022,,Comedy,,,Pankaj Parashar,Shraddha Kapoor,,,
7212,7212,Chaalbaaz Leader,-1970,,Drama,,,Ajit Singh,Bharathi,Bharati,Bharti,
7214,7214,Chaalis Chauraasi,-2012,120 min,"Comedy, Crime",6.1,474,Hriday Shetty,Naseeruddin Shah,Kay Kay Menon,Atul Kulkarni,
7217,7217,Chaalu Mera Naam,-1977,,"Action, Crime",5.8,5,Krishna Naidu,Vinod Mehra,Vidya Sinha,Mahendra Sandhu,
7218,7218,Chaalu Pe Chaalu,-1989,,,4.3,11,Krishna Ghattamaneni,Jayamalini,Sridevi,,
7226,7226,Chaand Kaa Tukdaa,-1994,155 min,"Action, Comedy, Crime",4,603,Saawan Kumar Tak,Sridevi,Salman Khan,Anupam Kher,
7229,7229,Chaani,-1977,136 min,Drama,7.7,26,Shantaram Rajaram Vankudre,Ranjana,Siddharth,Yashwant Dutt,
7234,7234,Chaar Cutting,-2015,76 min,"Comedy, Drama",,,Anuj Gulati,Vijayeta Kumar,Hardik Mehta,Vivek Soni,
7235,7235,Chaar Din Ki Chandni,-2012,131 min,"Comedy, Romance",4.1,393,Samir Karnik,Tusshar Kapoor,Kulraj Randhawa,Anupam Kher,
7240,7240,Chaar Maharathi,-1985,137 min,Action,4.5,8,S. Waris Ali,Tina Ambani,Master Bunty,Mithun Chakraborty,
7243,7243,Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,-2016,134 min,Animation,8.6,656,Harry Baweja,Harman Baweja,Pawan Kalra,Om Puri,
