userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,,
299,299,Aaj Ka Samson,-1991,123 min,"Action, Romance",,
302,302,Aaj Kaa M.L.A. Ram Avtar,-1984,157 min,"Action, Drama",,
304,304,Aaj Ke Angaarey,-1988,128 min,"Action, Drama",,
305,305,Aaj Ke Shahenshah,-1990,132 min,Action,,
307,307,Aaj Ki Awaz,-1984,137 min,"Action, Drama, Crime",,
323,323,Aaja Meri Jaan,-1993,162 min,Romance,,
324,324,Aaja Nachle,-2007,137 min,"Drama, Family, Music",,
326,326,Aaja Sanam,-1968,121 min,"Drama, Romance",,
333,333,Aakhree Raasta,-1986,164 min,"Action, Crime, Drama",,
334,334,Aakhri Adaalat,-1988,148 min,"Action, Thriller",,
335,335,Aakhri Baazi,-1989,149 min,"Action, Drama, Family",,
336,336,Aakhri Badla,-1989,120 min,"Action, Crime, Drama",,
346,346,Aakhri Ghulam,-1989,171 min,"Action, Crime, Drama",,
350,350,Aakhri Kasam,-1979,126 min,"Action, Thriller",,
351,351,Aakhri Khat,-1966,153 min,Drama,,
361,361,Aakhri Sangam,-1990,160 min,"Action, Romance",,
362,362,Aakhri Sanghursh,-1997,138 min,Action,,
364,364,Aakraman,-1975,139 min,"Drama, History, Romance",,
367,367,Aakrosh,-1980,144 min,"Crime, Drama, Music",,
368,368,Aakrosh,-2010,115 min,"Action, Crime, Thriller",,
370,370,Aalaap,-2012,116 min,Sci-Fi,,
371,371,Aalavandhan,-2001,177 min,"Action, Thriller",,
373,373,Aalwar,-2007,152 min,Action,,
374,374,Aamaar Bhuvan,-2018,107 min,"Drama, Family",,
375,375,Aamdani Atthanni Kharcha Rupaiya,-2001,150 min,"Comedy, Drama, Family",,
376,376,Aamir,-2008,99 min,"Action, Crime, Drama",,
378,378,Aamne - Saamne,-1967,163 min,"Crime, Mystery, Romance",,
379,379,Aamne Samne,-1982,143 min,"Action, Crime, Drama",,
382,382,Aan Aur Shaan,-1984,130 min,Drama,,
385,385,Aan Milo Sajna,-1970,177 min,"Drama, Musical, Romance",,
386,386,Aan: Men at Work,-2004,149 min,"Action, Crime, Drama",,
387,387,Aanch,-2003,160 min,Drama,,
