,Unnamed: 0,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Director,Actor,genres,movie_title,Actor_name,comb
3493,62469.0,tt1836883,Payanam,Payanam,2011.0,2011-02-11,"Action, Crime",115.0,India,Tamil,Radha Mohan,"T.J. Gnanavel, Radha Mohan",Silent Movies,"Nagarjuna Akkineni, Prakash Raj, Sana Khaan, Poonam Kaur, Rishi Raj, Ravi Prakash, Brahmanandam, Bharath Reddy, Prithvi, Manobala, Thalaivasal Vijay, M.S. Bhaskar, Melkote, Sri Lakshmi, Kumaravel","The movie deals with the stance of the government officials on such a serious issue and how a belated decision will make a situation worse, in an already edgy circumstance.",7.3,684.0,,,7930.0,,5.0,,,,,,,
3494,62471.0,tt1836912,Shaitan,Shaitan,2011.0,2011-06-10,"Action, Crime, Drama",121.0,India,"Hindi, English",Bejoy Nambiar,"Abhijeet Shirish Deshpande, K.S. Krishnan",Anurag Kashyap Films,"Kalki Koechlin, Shiv Panditt, Gulshan Devaiah, Rajeev Khandelwal, Neil Bhoopalam, Kirti Kulhari, Rajkummar Rao, Rajat Barmecha, Nikhil Chinappa, Shelly Skandrani, Abhijeet Shirish Deshpande, Raghav Dutt, Trushant Ingle, Rajit Kapoor, Pavan Malhotra",Five substance-abusing friends decide to fake a kidnapping in order to bribe a police constable for covering-up a hit-and-run accident.,7.2,7859.0,,,,,49.0,15.0,,,,,,
3495,62485.0,tt1837703,Il quinto potere,The Fifth Estate,2013.0,2013-10-24,"Biography, Crime, Drama",128.0,"USA, India, Belgium","English, Icelandic, Swahili, Arabic",Bill Condon,"Daniel Domscheit-Berg, David Leigh",DreamWorks,"Peter Capaldi, David Thewlis, Anatole Taubman, Alexander Beyer, Philip Bretherton, Dan Stevens, Daniel Brühl, Benedict Cumberbatch, Jamie Blackley, Ludger Pistor, Alicia Vikander, Michael Kranz, Christin Nichols, Christoph Franken, Ben Rook",A dramatic thriller based on real events that reveals the quest to expose the deceptions and corruptions of power that turned an Internet upstart into the 21st century's most fiercely debated organization.,6.2,38270.0,28000000.0,3255008.0,9058564.0,49.0,120.0,226.0,,,,,,
3496,62510.0,tt1839596,Rockstar,Rockstar,2011.0,2011-11-11,"Drama, Music, Musical",159.0,India,Hindi,Imtiaz Ali,"Imtiaz Ali, Muazzam Beg",Eros International,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra, Piyush Mishra, Shernaz Patel, Aditi Rao Hydari, Sanjana Sanghi, Shikha Jain, Jaideep Ahlawat, Moufid Aziz, Geetika Budhiraja, Aakash Dahiya, Sushil Dahiya, Ranveer Kashyap","Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",7.7,38346.0,10920000.0,986697.0,1651601.0,,172.0,35.0,,,,,,
3497,62520.0,tt1841504,Ambuli,Ambuli,2012.0,2012-02-17,"Action, Drama, Sci-Fi",139.0,India,Tamil,"Haresh Narayan, K. Hari Shankar","K. Hari Shankar, Haresh Narayan",K.T.V.R. Creative Reels,"Gokulnath, Parthiban, Srijith P.S., Ajai R., Sanam Shetty, Jothisha Ammu, Thambi Ramaiah, Motta Rajendran, Uma Riyaz Khan, Kalairani, Jagan, Jagan, Bosskey, Bala Singh, Bobby Hanspal",Two students plan to investigate a strange phenomenon that they came across in a field during their summer holidays.,5.3,209.0,96000000.0,,,,10.0,1.0,,,,,,
3498,62521.0,tt1841542,Chillar Party,Chillar Party,2011.0,2011-07-08,"Comedy, Drama, Family",135.0,India,"Hindi, Marathi, English","Vikas Bahl, Nitesh Tiwari","Vikas Bahl, Vijay Maurya",Salman Khan Human Productions,"Irfan Khan, Sanath Menon, Rohan Grover, Naman Jain, Chinmay Chandraunshuh, Visshesh Tiwari, Araav Khanna, Vedant Desai, Divji Handa, Shriya Sharma, Raju, Rajesh Sharma, Sonal Jha, Satyadeep Misra, Sonamoni Jayant Gadekar",A gang of innocent but feisty kids who lead carefree lives in Chandan Nagar colony takes on the big bad world of politics when one of their friend's life is endangered.,7.4,6912.0,,6330.0,832150.0,,24.0,15.0,,,,,,
3499,62524.0,tt1841611,Gandu,Gandu,2010.0,2010-10-29,Drama,85.0,India,Bengali,"Qaushiq Mukherjee, Qaushiq Mukherjee",Qaushiq Mukherjee,Oddjoint Art Pvt. Ltd.,"Anubrata Basu, Joyraj Bhattacharya, Rii Sen, Kamalika Banerjee, Shilajit Majumdar, Soumyajit Majumdar","After Nihilistic rapper Gandu steals from his mother's lover, he embarks on a drug-fueled rampage with a rickshaw puller in this abstract film.",5.6,2205.0,,,,,15.0,44.0,,,,,,
3500,62530.0,tt1841762,Mynaa,Mynaa,2010.0,2010-11-05,"Action, Romance",144.0,India,Tamil,Prabu Solomon,Prabu Solomon,Shalom Studios,"Vidharth, Amala Paul, Thambi Ramaiah, Sethu, Suzane George",Village boy make an affair with girl and they continue it even if they grownup. Accidentally boy happened to caught in jail. But after small time he escaped from the jail and come to the ...,7.3,900.0,30000000.0,,,,7.0,2.0,,,,,,
3501,62533.0,tt1842347,Damarukam,Damarukam,2012.0,2012-11-23,"Action, Drama, Fantasy",157.0,India,Telugu,Srinivasa Reddy,"D.S. Kannan, Srinivasa Reddy",RR Moviemakers,"Nagarjuna Akkineni, Anushka Shetty, Ganesh Venkatraman, Prakash Raj, Devan, P. Ravi Shankar, M.S. Narayana, Brahmanandam, Duvvasi Mohan, Jeeva, Raghu Babu, Krishna Bhagavan, Pragathi, Satya Krishnan, Rajitha",A demon born from darkness plans to take over the world by marrying a girl with ominous horoscope.,5.3,570.0,,,,,4.0,3.0,,,,,,
3502,62541.0,tt1843221,Nadunisi Naaygal,Nadunisi Naaygal,2011.0,2011-02-18,"Mystery, Thriller",120.0,India,"Telugu, Tamil",Gautham Menon,"Meghana Karthik, Gautham Menon",Photon Kathaas,"Veera Bahu, Sameera Reddy, Deva, Swapna Abraham, Ashwin Kakumanu, Samantha Ruth Prabhu","Having suffered sexual abuse as a child, Veera grows into a Psycho obsessed with sex and kills for pleasure.",4.6,362.0,,,,,16.0,1.0,,,,,,
